frame,keypoint,X,Y,Z,visible
30,Spine,[          0],[          0],[          0],0
30,Neck,[          0],[          0],[          0],0
30,Head,[     1188.7],[    -559.95],[     1574.5],1
30,RShoulder,[     1096.1],[     -495.9],[     1379.9],1
30,RElbow,[     1146.8],[    -399.37],[     1235.2],1
30,RHand,[     1602.6],[    -392.25],[     1131.7],1
30,LShoulder,[     1066.1],[    -535.46],[       1364],1
30,LElbow,[     1259.9],[    -320.66],[       1157],1
30,LHand,[       1468],[    -288.15],[      927.4],1
31,Hips,[          0],[          0],[          0],0
31,RHip,[     1005.9],[    -520.72],[      889.3],1
31,RKnee,[     993.53],[    -630.55],[     503.11],1
31,RAnkle,[     1178.8],[    -535.73],[     201.51],1
31,RFoot,[          0],[          0],[          0],0
31,LHip,[     987.25],[    -540.47],[     871.17],1
31,LKnee,[     1073.5],[    -676.74],[     500.58],1
31,LAnkle,[     1164.5],[    -681.81],[     149.36],1
31,LFoot,[          0],[          0],[          0],0
31,Spine,[          0],[          0],[          0],0
31,Neck,[          0],[          0],[          0],0
31,Head,[       1222],[    -574.53],[     1575.6],1
31,RShoulder,[     1134.7],[    -509.08],[     1381.5],1
31,RElbow,[     1192.4],[    -409.25],[       1240],1
