frame,keypoint,X,Y,Z,visible
47,Hips,[11915.55188824],[209.36827689],[992.85429289],1
47,RHip,[11950.74182265],[346.45452403],[960.26353731],1
47,RKnee,[12092.11841874],[206.49532873],[559.2991682],1
47,RAnkle,[12318.30805462],[72.56782908],[250.70696523],1
47,RFoot,[12312.82212614],[22.96611239],[64.86039862],1
47,LHip,[11861.98595395],[71.48095982],[1007.64800677],1
47,LKnee,[11673.54558627],[248.55071067],[582.29448468],1
47,LAnkle,[11759.988292],[312.62671227],[185.3311944],1
47,LFoot,[11633.1536187],[379.80165581],[82.40299089],1
47,Spine,[11819.5871291],[259.89682739],[1252.83851769],1
47,Neck,[11683.92494509],[323.40325289],[1503.89236212],1
47,Head,[11583.96606536],[373.27457351],[1634.33873634],1
47,RShoulder,[11768.50469214],[495.4755825],[1420.31349087],1
47,RElbow,[11760.88463895],[564.43251255],[1109.46177589],1
47,RHand,[11563.35409491],[574.55531815],[898.939412],1
47,LShoulder,[11677.63199808],[99.74927361],[1502.11877116],1
47,LElbow,[11852.63145212],[-49.03594361],[1346.37021531],1
47,LHand,[11709.67176052],[-44.70351365],[1086.6710888],1
48,Hips,[11900.17311003],[232.7325444],[992.67556893],1
48,RHip,[11932.71519583],[374.85738535],[958.34211346],1
48,RKnee,[12077.41115848],[226.9308107],[558.4098528],1
48,RAnkle,[12309.20508662],[91.62668479],[252.30738112],1
48,RFoot,[12303.21509905],[37.38076575],[63.51944467],1
48,LHip,[11848.35752984],[89.63802063],[1008.67644562],1
48,LKnee,[11650.06225167],[271.09384507],[583.80761973],1
48,LAnkle,[11735.36705521],[342.73053193],[184.00422902],1
48,LFoot,[11602.3777307],[410.90364907],[82.06722295],1
48,Spine,[11802.23342298],[283.80820188],[1251.36329107],1
48,Neck,[11664.41345664],[347.92301684],[1501.43817888],1
48,Head,[11563.35766482],[399.3198421],[1630.86896637],1
48,RShoulder,[11747.12296368],[526.72612699],[1414.99262761],1
48,RElbow,[11736.87001551],[594.53488187],[1092.6834446],1
48,RHand,[11537.71279185],[602.44817287],[868.21015822],1
48,LShoulder,[11662.30188367],[116.23960253],[1501.45885045],1
48,LElbow,[11846.86334267],[-42.08939809],[1344.76502034],1
48,LHand,[11694.89901962],[-40.96166903],[1070.84977977],1
49,Hips,[11884.79433181],[256.0968119],[992.49684497],1
49,RHip,[11914.68856902],[403.26024666],[956.42068961],1
49,RKnee,[12062.70389822],[247.36629266],[557.52053741],1
49,RAnkle,[12300.10211862],[110.68554051],[253.907797],1
49,RFoot,[12293.60807197],[51.7954191],[62.17849072],1
49,LHip,[11834.72910572],[107.79508145],[1009.70488447],1
49,LKnee,[11626.57891707],[293.63697946],[585.32075479],1
49,LAnkle,[11710.74581841],[372.83435159],[182.67726364],1
49,LFoot,[11571.6018427],[442.00564234],[81.73145501],1
49,Spine,[11784.87971686],[307.71957637],[1249.88806446],1
49,Neck,[11644.90196819],[372.44278079],[1498.98399563],1
49,Head,[11542.74926428],[425.36511069],[1627.3991964],1
49,RShoulder,[11725.74123522],[557.97667148],[1409.67176436],1
49,RElbow,[11712.85539208],[624.6372512],[1075.9051133],1
49,RHand,[11512.07148879],[630.3410276],[837.48090444],1
49,LShoulder,[11646.97176926],[132.72993145],[1500.79892974],1
49,LElbow,[11841.09523323],[-35.14285257],[1343.15982537],1
49,LHand,[11680.12627872],[-37.2198244],[1055.02847074],1
50,Hips,[11869.4155536],[279.4610794],[992.31812101],1
50,RHip,[11896.66194221],[431.66310797],[954.49926575],1
50,RKnee,[12047.99663796],[267.80177462],[556.63122202],1
50,RAnkle,[12290.99915063],[129.74439622],[255.50821289],1
50,RFoot,[12284.00104488],[66.21007246],[60.83753677],1
50,LHip,[11821.1006816],[125.95214227],[1010.73332332],1
50,LKnee,[11603.09558246],[316.18011385],[586.83388985],1
50,LAnkle,[11686.12458162],[402.93817126],[181.35029826],1
50,LFoot,[11540.82595469],[473.1076356],[81.39568707],1
50,Spine,[11767.52601074],[331.63095086],[1248.41283784],1
50,Neck,[11625.39047974],[396.96254474],[1496.52981238],1
50,Head,[11522.14086375],[451.41037928],[1623.92942643],1
50,RShoulder,[11704.35950677],[589.22721597],[1404.35090111],1
50,RElbow,[11688.84076865],[654.73962052],[1059.12678201],1
50,RHand,[11486.43018573],[658.23388232],[806.75165066],1
50,LShoulder,[11631.64165485],[149.22026038],[1500.13900903],1
50,LElbow,[11835.32712378],[-28.19630705],[1341.55463041],1
50,LHand,[11665.35353782],[-33.47797978],[1039.20716171],1
51,Hips,[11854.03677538],[302.8253469],[992.13939705],1
51,RHip,[11878.63531539],[460.06596928],[952.5778419],1
51,RKnee,[12033.2893777],[288.23725658],[555.74190663],1
51,RAnkle,[12281.89618263],[148.80325193],[257.10862878],1
51,RFoot,[12274.3940178],[80.62472581],[59.49658282],1
51,LHip,[11807.47225748],[144.10920309],[1011.76176216],1
51,LKnee,[11579.61224786],[338.72324824],[588.3470249],1
51,LAnkle,[11661.50334482],[433.04199092],[180.02333288],1
51,LFoot,[11510.05006669],[504.20962886],[81.05991914],1
51,Spine,[11750.17230462],[355.54232535],[1246.93761123],1
51,Neck,[11605.8789913],[421.48230869],[1494.07562914],1
51,Head,[11501.53246321],[477.45564787],[1620.45965647],1
51,RShoulder,[11682.97777831],[620.47776046],[1399.03003786],1
51,RElbow,[11664.82614522],[684.84198984],[1042.34845072],1
51,RHand,[11460.78888267],[686.12673705],[776.02239688],1
51,LShoulder,[11616.31154044],[165.7105893],[1499.47908831],1
51,LElbow,[11829.55901434],[-21.24976153],[1339.94943544],1
51,LHand,[11650.58079693],[-29.73613515],[1023.38585268],1
52,Hips,[11507.48861409],[443.17796748],[923.58099829],1
52,RHip,[11511.18959057],[591.00413127],[914.90179399],1
52,RKnee,[11378.58332429],[617.40356076],[502.49856372],1
52,RAnkle,[11688.1506473],[491.41243586],[347.15632028],1
52,RFoot,[11714.29683352],[513.85414042],[182.45170728],1
52,LHip,[11472.55200476],[306.4689298],[912.54859081],1
52,LKnee,[11436.44330967],[408.02238346],[456.25950715],1
52,LAnkle,[11683.15281821],[382.67425577],[157.60661068],1
52,LFoot,[11568.6666233],[415.87155303],[56.63726208],1
52,Spine,[11409.29939299],[455.0571302],[1196.4215105],1
52,Neck,[11247.44528573],[503.36633142],[1433.71872211],1
52,Head,[11130.22119175],[557.8642456],[1577.1718603],1
52,RShoulder,[11345.79947483],[677.32494931],[1375.97982441],1
52,RElbow,[11554.26657208],[731.01185661],[1143.86108262],1
52,RHand,[11420.3102292],[751.26156468],[951.7536987],1
52,LShoulder,[11208.70042663],[311.55508683],[1403.9807072],1
52,LElbow,[11275.15539388],[233.25860922],[1082.3007719],1
