frame,keypoint,X,Y,Z,visible
16,LShoulder,[     411.99],[       18.1],[     1335.7],1
16,LElbow,[     413.96],[    -9.7942],[     1031.2],1
16,LHand,[     212.61],[    -270.52],[     939.97],1
17,Hips,[          0],[          0],[          0],0
17,RHip,[     216.87],[    -85.119],[     865.91],1
17,RKnee,[     357.09],[    -156.81],[     474.59],1
17,RAnkle,[     251.19],[    -45.573],[     135.56],1
17,RFoot,[          0],[          0],[          0],0
17,LHip,[     269.66],[     83.564],[     853.24],1
17,LKnee,[     171.51],[     112.46],[     480.97],1
17,LAnkle,[    -75.552],[     246.67],[      139.9],1
17,LFoot,[          0],[          0],[          0],0
17,Spine,[          0],[          0],[          0],0
17,Neck,[          0],[          0],[          0],0
17,Head,[     646.88],[     -248.8],[     1527.2],1
17,RShoulder,[     340.17],[    -264.37],[     1339.9],1
17,RElbow,[     168.86],[    -287.31],[     1110.6],1
17,RHand,[     348.02],[    -430.55],[     1147.5],1
17,LShoulder,[     497.37],[    -30.779],[     1348.9],1
17,LElbow,[     536.67],[    -37.009],[     1107.1],1
17,LHand,[     544.32],[    -291.79],[     1098.3],1
18,Hips,[          0],[          0],[          0],0
18,RHip,[     230.78],[    -95.549],[     861.77],1
18,RKnee,[     382.88],[    -167.84],[     464.38],1
18,RAnkle,[     256.61],[    -42.248],[     136.61],1
18,RFoot,[          0],[          0],[          0],0
18,LHip,[     281.61],[      76.36],[     848.65],1
18,LKnee,[     205.53],[      102.6],[     478.49],1
18,LAnkle,[    -42.484],[     256.02],[     149.33],1
18,LFoot,[          0],[          0],[          0],0
18,Spine,[          0],[          0],[          0],0
18,Neck,[          0],[          0],[          0],0
18,Head,[     660.69],[    -251.73],[     1528.3],1
18,RShoulder,[     354.09],[    -274.32],[     1337.4],1
18,RElbow,[     186.35],[    -297.63],[     1105.7],1
18,RHand,[     367.32],[    -446.73],[     1148.5],1
18,LShoulder,[     508.12],[     -36.67],[     1346.4],1
18,LElbow,[     543.92],[    -46.945],[     1104.6],1
18,LHand,[     546.71],[    -308.03],[     1094.6],1
19,Hips,[          0],[          0],[          0],0
19,RHip,[     244.69],[    -105.98],[     857.63],1
19,RKnee,[     408.68],[    -178.87],[     454.17],1
19,RAnkle,[     262.04],[    -38.924],[     137.66],1
19,RFoot,[          0],[          0],[          0],0
19,LHip,[     293.56],[     69.156],[     844.07],1
19,LKnee,[     239.55],[     92.746],[        476],1
19,LAnkle,[     -9.416],[     265.38],[     158.76],1
19,LFoot,[          0],[          0],[          0],0
19,Spine,[          0],[          0],[          0],0
19,Neck,[          0],[          0],[          0],0
19,Head,[      674.5],[    -254.66],[     1529.5],1
19,RShoulder,[        368],[    -284.28],[     1334.9],1
19,RElbow,[     203.84],[    -307.95],[     1100.8],1
19,RHand,[     386.61],[    -462.92],[     1149.4],1
19,LShoulder,[     518.86],[    -42.561],[     1343.9],1
19,LElbow,[     551.17],[    -56.881],[     1102.1],1
19,LHand,[      549.1],[    -324.27],[     1090.9],1
20,Hips,[          0],[          0],[          0],0
20,RHip,[     258.59],[    -116.41],[     853.49],1
20,RKnee,[     434.47],[    -189.89],[     443.96],1
20,RAnkle,[     267.46],[    -35.599],[     138.71],1
20,RFoot,[          0],[          0],[          0],0
20,LHip,[     305.52],[     61.951],[     839.49],1
20,LKnee,[     273.57],[     82.887],[     473.51],1
20,LAnkle,[     23.652],[     274.73],[      168.2],1
20,LFoot,[          0],[          0],[          0],0
20,Spine,[          0],[          0],[          0],0
20,Neck,[          0],[          0],[          0],0
20,Head,[      688.3],[    -257.59],[     1530.6],1
20,RShoulder,[     381.92],[    -294.23],[     1332.4],1
20,RElbow,[     221.33],[    -318.27],[     1095.9],1
20,RHand,[      405.9],[    -479.11],[     1150.3],1
20,LShoulder,[     529.61],[    -48.452],[     1341.5],1
20,LElbow,[     558.41],[    -66.817],[     1099.6],1
20,LHand,[     551.49],[    -340.52],[     1087.2],1
21,Hips,[          0],[          0],[          0],0
21,RHip,[      272.5],[    -126.84],[     849.35],1
21,RKnee,[     460.27],[    -200.92],[     433.75],1
21,RAnkle,[     272.88],[    -32.274],[     139.76],1
21,RFoot,[          0],[          0],[          0],0
21,LHip,[     317.47],[     54.747],[     834.91],1
21,LKnee,[     307.59],[     73.029],[     471.02],1
21,LAnkle,[      56.72],[     284.08],[     177.63],1
21,LFoot,[          0],[          0],[          0],0
21,Spine,[          0],[          0],[          0],0
21,Neck,[          0],[          0],[          0],0
21,Head,[     702.11],[    -260.52],[     1531.8],1
21,RShoulder,[     395.84],[    -304.18],[     1329.9],1
21,RElbow,[     238.82],[    -328.59],[       1091],1
21,RHand,[      425.2],[     -495.3],[     1151.3],1
21,LShoulder,[     540.36],[    -54.343],[       1339],1
21,LElbow,[     565.66],[    -76.753],[     1097.1],1
21,LHand,[     553.87],[    -356.76],[     1083.5],1
22,Hips,[          0],[          0],[          0],0
22,RHip,[      504.7],[    -261.38],[     916.58],1
22,RKnee,[      518.9],[    -293.54],[     536.92],1
22,RAnkle,[     264.64],[    -55.266],[     141.89],1
22,RFoot,[          0],[          0],[          0],0
22,LHip,[     642.26],[    -131.73],[     916.02],1
22,LKnee,[     613.57],[    -187.66],[     507.09],1
22,LAnkle,[     427.49],[    -84.941],[     231.25],1
22,LFoot,[          0],[          0],[          0],0
22,Spine,[          0],[          0],[          0],0
22,Neck,[          0],[          0],[          0],0
22,Head,[     950.24],[    -452.05],[     1588.8],1
22,RShoulder,[     569.17],[    -442.92],[       1352],1
22,RElbow,[     550.26],[    -543.83],[     1071.6],1
22,RHand,[     578.58],[    -679.88],[     839.32],1
22,LShoulder,[     796.49],[    -213.55],[     1383.2],1
22,LElbow,[     798.83],[    -102.07],[     1057.8],1
22,LHand,[     866.05],[    -273.41],[     921.36],1
23,Hips,[          0],[          0],[          0],0
23,RHip,[     531.03],[    -278.87],[      916.5],1
23,RKnee,[     548.09],[    -312.99],[     538.43],1
23,RAnkle,[     268.65],[    -54.659],[     143.05],1
23,RFoot,[          0],[          0],[          0],0
23,LHip,[     672.02],[    -149.13],[     916.32],1
23,LKnee,[     675.68],[    -223.43],[     508.59],1
23,LAnkle,[     495.44],[    -114.67],[     245.25],1
23,LFoot,[          0],[          0],[          0],0
23,Spine,[          0],[          0],[          0],0
23,Neck,[          0],[          0],[          0],0
23,Head,[     977.38],[    -465.71],[     1593.1],1
23,RShoulder,[     592.16],[     -460.2],[     1350.9],1
23,RElbow,[     584.48],[    -565.81],[     1065.9],1
23,RHand,[      605.5],[    -705.65],[     822.46],1
23,LShoulder,[      821.2],[    -228.16],[     1383.3],1
